PLAYER,POS,TEAM,PPG
TUCKER,K,BAL,8
JACKSON,QB,BAL,23.1
HENRY,RB,BAL,30.6
LIKELY,TE,BAL,6.8
ALLEN,QB,BUF,23
COOK,RB,BUF,16
SUTTON,WR,DEN,10
LUTZ,K,DEN,8
DENVER,DST,DEN,4
GOFF,QB,DET,17
GIBBS,RB,DET,18
MONTGOMERY,RB,DET,10
ST. BROWN,WR,DET,14
JACOBS,RB,GB,16
KRAFT,TE,GB,9
MIXON,RB,HOU,16.4
COLLINS,WR,HOU,21.7
FAIRBAIRN,K,HOU,13
MAHOMES,QB,KC,20
WORTHY,WR,KC,14
KELCE,TE,KC,10
KANSAS CITY,DST,KC,4
DOBBINS,RB,LAC,2.6
MCCONKEY,WR,LAC,30.2
JOHNSTON,WR,LAC,8
DISSLY,TE,LAC,2.6
DICKER,K,LAC,6
LOS ANGELES A,DST,LAC,8
STAFFORD,QB,LAR,18
WILLIAMS,RB,LAR,14
NACUA,WR,LAR,18
KUPP,WR,LAR,13
KARTY,K,LAR,7
DARNOLD,QB,MIN,17
JONES,RB,MIN,12
JEFFERSON,WR,MIN,18
ADDISON,WR,MIN,10
HOCKENSON,TE,MIN,8
HURTS,QB,PHI,23
BARKLEY,RB,PHI,20
BROWN,WR,PHI,14
HARRIS,RB,PIT,7.3
FREIERMUTH,TE,PIT,3
BOSWELL,K,PIT,2
PITTSBURGH,DST,PIT,4
MAYFIELD,QB,TB,18
IRVING,RB,TB,15
EVANS,WR,TB,13
MCMILLAN,WR,TB,8
ROBINSON,RB,WAS,9
MCLAURIN,WR,WAS,10
ERTZ,TE,WAS,7
SLYE,K,WAS,8
