MANAGER,PLAYER,POS,WC_PTS,DIV_PTS,CONF_PTS,SB_PTS,TOTAL_PTS
TEAM RAHEEM,ALLEN,QB,0,0,0,0,0
TEAM RAHEEM,JACKSON,QB,0,0,0,0,0
TEAM RAHEEM,GIBBS,RB,0,0,0,0,0
TEAM RAHEEM,JACOBS,RB,0,0,0,0,0
TEAM RAHEEM,BARKLEY,RB,0,0,0,0,0
TEAM RAHEEM,IRVING,RB,0,0,0,0,0
TEAM RAHEEM,WORTHY,WR,0,0,0,0,0
TEAM RAHEEM,NACUA,WR,0,0,0,0,0
TEAM RAHEEM,JEFFERSON,WR,0,0,0,0,0
TEAM RAHEEM,MCCONKEY,WR,0,0,0,0,0
TEAM RAHEEM,FREIERMUTH,TE,0,0,0,0,0
TEAM RAHEEM,ERTZ,TE,0,0,0,0,0
TEAM RAHEEM,FAIRBAIRN,K,0,0,0,0,0
TEAM RAHEEM,DENVER,DST,0,0,0,0,0
JACOBS LADDER,ALLEN,QB,0,0,0,0,0
JACOBS LADDER,MAYFIELD,QB,0,0,0,0,0
JACOBS LADDER,HENRY,RB,0,0,0,0,0
JACOBS LADDER,MIXON,RB,0,0,0,0,0
JACOBS LADDER,JACOBS,RB,0,0,0,0,0
JACOBS LADDER,BARKLEY,RB,0,0,0,0,0
JACOBS LADDER,ADDISON,WR,0,0,0,0,0
JACOBS LADDER,ST. BROWN,WR,0,0,0,0,0
JACOBS LADDER,NACUA,WR,0,0,0,0,0
JACOBS LADDER,WORTHY,WR,0,0,0,0,0
JACOBS LADDER,FREIERMUTH,TE,0,0,0,0,0
JACOBS LADDER,ERTZ,TE,0,0,0,0,0
JACOBS LADDER,LUTZ,K,0,0,0,0,0
JACOBS LADDER,LOS ANGELES A,DST,0,0,0,0,0
T CZAR,ALLEN,QB,0,0,0,0,0
T CZAR,HURTS,QB,0,0,0,0,0
T CZAR,MONTGOMERY,RB,0,0,0,0,0
T CZAR,JACOBS,RB,0,0,0,0,0
T CZAR,MIXON,RB,0,0,0,0,0
T CZAR,HENRY,RB,0,0,0,0,0
T CZAR,WORTHY,WR,0,0,0,0,0
T CZAR,NACUA,WR,0,0,0,0,0
T CZAR,JEFFERSON,WR,0,0,0,0,0
T CZAR,EVANS,WR,0,0,0,0,0
T CZAR,ERTZ,TE,0,0,0,0,0
T CZAR,FREIERMUTH,TE,0,0,0,0,0
T CZAR,DICKER,K,0,0,0,0,0
T CZAR,DENVER,DST,0,0,0,0,0
PAUL REVERE,ALLEN,QB,0,0,0,0,0
PAUL REVERE,GOFF,QB,0,0,0,0,0
PAUL REVERE,HENRY,RB,0,0,0,0,0
PAUL REVERE,JACOBS,RB,0,0,0,0,0
PAUL REVERE,JONES,RB,0,0,0,0,0
PAUL REVERE,BARKLEY,RB,0,0,0,0,0
